chinRyo,ekiToho,senMenseki,chiku,kai_all,shinchiku,kai_above,south,parking,autolock,aircon,bathtoilet,addbatch,flooring,pet,url_detail
50000,7,15.7,25,3,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010083300000000000005530001/
50000,7,15.7,25,3,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010075290046540000637560001/
50000,15,16,25,2,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-0000006630000000002838860002/
90000,6,32.48,25,2,0,1,0,0,0,1,1,1,0,0,https://www.chintai.net/detail/bk-0000000020000000006030010007/
66000,2,19,25,2,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000001136310000/
68000,4,18,25,5,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000697650013/
69000,3,28.95,25,6,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010033530000000000455020001/
80000,6,28.87,26,3,0,1,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010033530000000000456260001/
48000,10,14.16,34,5,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010069450021080001828170001/
140000,12,54.9,30,4,0,1,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000960000000004278920006/
109000,2,39.04,19,6,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000960000000001792970002/
85000,16,51.75,26,3,0,1,0,0,0,1,1,1,1,1,https://www.chintai.net/detail/bk-0000006880000000006290150006/
50000,8,16,26,2,0,0,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000024930004/
46500,7,16.8,26,4,0,0,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010083690000000000001580001/
56000,8,17,26,3,0,0,1,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000709960020/
69000,5,23,26,7,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000697450005/
138000,6,61.11,26,7,0,1,1,1,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000000027220013/
48000,6,14.9,27,2,0,0,1,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003240870001/
48000,13,24.84,27,2,0,1,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000006308180006/
48000,13,24.84,27,2,0,1,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000006308180004/
58000,4,17.34,27,7,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010081370000000001002840035/
60000,10,38.8,27,3,0,0,0,0,0,0,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000007114000020/
53000,4,17.34,27,7,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010081370000000001002840036/
45000,10,20.25,27,2,0,1,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083690000000000002320001/
45000,10,20.25,27,2,0,1,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010033530000000000438090002/
56000,10,18,28,3,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-0000006630000000000883040003/
